config,window,units,layers,dropout,ticker,MAE,MSE,RMSE,MAPE
Combination_010,20,32,3,0.2,BBCA,358.9773195188679,159497.59732836598,399.3715028997011,4.409030532749673
Combination_010,20,32,3,0.2,BBNI,152.96673335617402,36589.65571031664,191.28422755239552,3.6037477364213166
Combination_010,20,32,3,0.2,BBRI,124.17359379288844,21685.23899859412,147.25908800000806,3.2198787959691417
Combination_010,20,32,3,0.2,BBTN,29.86887873886582,1788.6821797967498,42.29281475377052,2.466178448919881
Combination_010,20,32,3,0.2,BMRI,194.3536735524377,58105.45682160639,241.0507349534666,4.203074666451106
Combination_010,20,32,3,0.2,ITMG,440.78502777240266,291043.9277102645,539.4848725499767,1.944176245058669
Combination_010,20,32,3,0.2,MEDC,37.68985475659816,2604.589256026582,51.03517665323186,2.849591975479676
Combination_010,20,32,3,0.2,PGAS,25.765140022305264,1299.629856908865,36.05037942808459,1.5214821559646563
Combination_010,20,32,3,0.2,PTBA,28.61364943946866,3237.076464493073,56.89531144561099,1.189604841849068
Combination_011,20,32,3,0.3,ADRO,63.73179824178597,6885.287499266772,82.97763252387219,3.472179950351037
Combination_011,20,32,3,0.3,BBCA,232.1268857404482,117358.1030123473,342.57568946489374,2.802810854138808
Combination_011,20,32,3,0.3,BBNI,134.55177955490228,27785.71597232926,166.69047954916098,3.1953018961408715
Combination_011,20,32,3,0.3,BBRI,96.04481747679117,14049.739199102083,118.5315957840022,2.500454622468072
Combination_011,20,32,3,0.3,BBTN,34.492295783540705,2520.208532882543,50.20167858630369,2.8460698965585345
Combination_011,20,32,3,0.3,BMRI,142.7966930926275,31818.595315599967,178.37767605729132,3.0549486352196795
Combination_011,20,32,3,0.3,ITMG,362.83204987537937,209164.37857192048,457.3449229759968,1.6040886093889453
Combination_011,20,32,3,0.3,MEDC,38.69170084563222,2585.6992793932527,50.84977167493727,2.922978374546134
Combination_011,20,32,3,0.3,PGAS,28.13785091578531,1516.843698195315,38.94667762717784,1.655856479905126
Combination_011,20,32,3,0.3,PTBA,42.98952104483577,5198.263787063411,72.09898603353179,1.8007191173945534
Combination_012,20,32,3,0.4,ADRO,80.43814646468746,11186.426448472426,105.76590399780274,4.33000884380053
Combination_012,20,32,3,0.4,BBCA,286.81062071872265,143918.61819860365,379.3660741270938,3.4595409022027006
Combination_012,20,32,3,0.4,BBNI,143.86391876412816,32114.979994299098,179.20652888301558,3.406774570792015
Combination_012,20,32,3,0.4,BBRI,160.72877017332485,37210.49190010937,192.9002122863253,4.206507499409328
Combination_012,20,32,3,0.4,BBTN,32.15463217733036,2154.65751943018,46.41828863099306,2.6480337065427264
Combination_012,20,32,3,0.4,BMRI,173.43226988967368,47632.484707930016,218.24867630281287,3.6836188943668606
Combination_012,20,32,3,0.4,ITMG,446.4653846278467,285676.59059176483,534.4872221033585,1.97219194368594
Combination_012,20,32,3,0.4,MEDC,39.71225309394726,2680.1759288847243,51.77041557573905,2.9955428678865954
Combination_012,20,32,3,0.4,PGAS,27.449963230023275,1459.4785661377994,38.2031224658116,1.6104412228386995
Combination_012,20,32,3,0.4,PTBA,42.20327905935349,5379.617357813518,73.34587485205638,1.7689992408512691
Combination_013,20,64,1,0.1,ADRO,36.41817251072944,2705.202902875735,52.01156508773539,1.9800219886453103
Combination_013,20,64,1,0.1,BBCA,119.93445064738496,28801.77476939909,169.7108563687046,1.4592505362977772
Combination_013,20,64,1,0.1,BBNI,62.917425478105066,7865.105334802187,88.68542910085166,1.4822485974888502
Combination_013,20,64,1,0.1,BBRI,62.643352012228064,6936.601299233076,83.28626116733226,1.624028439890819
Combination_013,20,64,1,0.1,BBTN,27.54834252414897,1506.790193878677,38.8173955061217,2.2727541617196234
Combination_013,20,64,1,0.1,BMRI,81.51432857453395,10630.246222220929,103.10308541562142,1.7428329593839416
Combination_013,20,64,1,0.1,ITMG,233.0027405306588,89662.493334705,299.4369605354439,1.0307750060381589
Combination_013,20,64,1,0.1,MEDC,27.65273413086541,1392.3866034588812,37.314696882848736,2.091586100648533
Combination_013,20,64,1,0.1,PGAS,23.08832340103258,1102.237986934458,33.199969682734014,1.3547738297912113
Combination_013,20,64,1,0.1,PTBA,23.80902498424482,2388.540637219789,48.8726982805307,0.9868369653787394
Combination_014,20,64,1,0.2,ADRO,40.07347005144728,3200.3475693222053,56.571614519317066,2.176641262478598
Combination_014,20,64,1,0.2,BBCA,109.30309141068146,23387.51479415879,152.92977079090517,1.3320807659195293
Combination_014,20,64,1,0.2,BBNI,68.64472584758734,8810.882943743602,93.866303558538,1.6177072075160102
Combination_014,20,64,1,0.2,BBRI,66.85879390019426,7970.017697179978,89.2749555988687,1.733304847550648
Combination_014,20,64,1,0.2,BBTN,29.577042326076068,1702.47963381648,41.261115275965096,2.442191819701727
Combination_014,20,64,1,0.2,BMRI,84.53812115484001,11803.918777901854,108.64584105202488,1.8050583314429904
Combination_014,20,64,1,0.2,ITMG,215.6829383411853,82003.13465207456,286.361894553159,0.9545805971975564
Combination_014,20,64,1,0.2,MEDC,31.790895878488,1794.3454288148157,42.359714692320765,2.4120697383578262
Combination_014,20,64,1,0.2,PGAS,24.909100686903468,1307.139653605291,36.15438636742838,1.4672188219491331
Combination_014,20,64,1,0.2,PTBA,25.81861647127344,2488.888199187568,49.88875824459421,1.0727872128951983
Combination_015,20,64,1,0.3,ADRO,37.033312907643456,2624.9086965143565,51.23386279126684,2.0206519211705123
Combination_015,20,64,1,0.3,BBCA,129.2001256539667,36514.11818335641,191.0866771477185,1.5705375395830212
Combination_015,20,64,1,0.3,BBNI,69.96870985991663,9037.429658225534,95.06539674469114,1.6530415130214713
Combination_015,20,64,1,0.3,BBRI,71.4284130776807,8807.690822619961,93.8492984663176,1.8481019051148
