time,open,high,low,close,Volume
2022-10-19,3720,3870,3690,3730,181494300
2022-10-20,3750,3890,3750,3830,142412300
2022-10-21,3860,3870,3790,3830,33609400
2022-10-24,3840,3860,3780,3780,32953300
2022-10-25,3780,3780,3730,3750,32445700
2022-10-26,3710,3850,3710,3810,32349600
2022-10-27,3850,3870,3780,3790,52399900
2022-10-28,3810,3830,3780,3790,15921300
2022-10-31,3810,3920,3800,3910,56718800
2022-11-01,3880,3880,3740,3750,51214300
2022-11-02,3750,3800,3710,3740,36783400
2022-11-03,3750,3790,3720,3750,18549600
2022-11-04,3760,3790,3750,3750,21864700
2022-11-07,3760,3840,3760,3830,19988900
2022-11-08,3800,3810,3760,3790,19183500
2022-11-09,3780,3780,3660,3660,56397900
2022-11-10,3550,3580,3430,3470,83554300
2022-11-11,3470,3520,3460,3480,27996300
2022-11-14,3490,3550,3460,3480,28536600
2022-11-15,3510,3530,3470,3500,15339000
2022-11-16,3540,3560,3490,3500,23183800
2022-11-17,3500,3560,3460,3550,13856100
2022-11-18,3550,3570,3520,3550,11213500
2022-11-21,3550,3650,3550,3650,22838900
2022-11-22,3650,3690,3630,3690,15741500
2022-11-23,3690,3740,3680,3700,11530000
2022-11-24,3700,3720,3680,3690,6777000
2022-11-25,3690,3700,3640,3640,5807000
2022-11-28,3640,3710,3640,3680,9351400
2022-11-29,3730,3770,3710,3750,14437100
2022-11-30,3780,3810,3770,3800,23462900
2022-12-01,3820,3850,3800,3810,12682000
2022-12-02,3800,3810,3760,3770,8944700
2022-12-05,3800,3800,3690,3690,11468900
2022-12-06,3720,3730,3650,3660,10697600
2022-12-07,3670,3740,3670,3690,14885400
2022-12-08,3700,3710,3610,3700,11829600
2022-12-09,3680,3680,3610,3620,10584600
2022-12-12,3620,3820,3620,3800,23986300
2022-12-13,3800,3800,3720,3720,13065900
2022-12-14,3760,3840,3750,3790,21047600
2022-12-15,3780,3830,3760,3770,13716300
2022-12-16,3750,3800,3720,3800,11890900
2022-12-19,3800,3820,3780,3820,9644600
2022-12-20,3810,3820,3760,3770,12195200
2022-12-21,3790,3790,3740,3760,6950300
2022-12-22,3760,3800,3740,3760,5312300
2022-12-23,3750,3760,3730,3740,6330000
2022-12-26,3740,3750,3690,3700,9099200
2022-12-27,3690,3710,3670,3690,6629600
2022-12-28,3690,3710,3660,3670,6450100
2022-12-29,3670,3690,3660,3670,5196900
2022-12-30,3670,3700,3650,3690,9279800
2023-01-02,3690,3740,3680,3690,3875700
2023-01-03,3690,3740,3680,3730,8603300
2023-01-04,3730,3730,3620,3620,14383800
2023-01-05,3620,3630,3390,3410,29603400
2023-01-06,3400,3500,3380,3430,17087900
2023-01-09,3430,3450,3260,3280,33045500
2023-01-10,3280,3370,3240,3360,16647900
2023-01-11,3380,3410,3310,3400,11686700
2023-01-12,3360,3380,3330,3330,10536100
2023-01-13,3330,3360,3320,3330,6923500
2023-01-16,3320,3350,3300,3320,6263500
2023-01-17,3310,3390,3300,3350,8112900
2023-01-18,3360,3460,3360,3410,10347100
2023-01-19,3410,3490,3410,3490,9291100
2023-01-20,3500,3570,3480,3570,11504700
2023-01-24,3560,3560,3510,3540,11922700
2023-01-25,3540,3540,3480,3480,8719100
2023-01-26,3440,3440,3360,3390,16961500
2023-01-27,3430,3480,3420,3470,11413400
2023-01-30,3470,3540,3430,3450,8463600
2023-01-31,3420,3480,3400,3400,14211100
2023-02-01,3400,3430,3360,3380,13845700
2023-02-02,3390,3420,3370,3420,10252400
2023-02-03,3390,3400,3320,3330,17550500
2023-02-06,3330,3350,3250,3260,31848200
2023-02-07,3340,3470,3330,3470,34808600
2023-02-08,3500,3530,3420,3490,15377900
2023-02-09,3450,3490,3400,3480,14271300
2023-02-10,3430,3430,3350,3370,20199900
2023-02-13,3400,3440,3360,3370,11594200
2023-02-14,3370,3430,3360,3400,7125200
2023-02-15,3400,3510,3400,3440,18588500
2023-02-16,3450,3520,3430,3510,13872000
2023-02-17,3490,3500,3470,3490,6915600
2023-02-20,3490,3580,3470,3570,11800900
2023-02-21,3580,3580,3520,3520,5918800
2023-02-22,3550,3590,3510,3540,7359600
2023-02-23,3560,3610,3540,3560,8374700
2023-02-24,3600,3680,3570,3660,16167900
2023-02-27,3710,3780,3700,3730,16456000
2023-02-28,3730,3870,3730,3860,36876800
2023-03-01,3860,3900,3860,3880,19526100
2023-03-02,3880,4000,3820,4000,36416700
2023-03-03,4010,4020,3940,4010,24567900
2023-03-06,4000,4000,3900,3990,19642000
2023-03-07,3950,3970,3830,3830,23662900
2023-03-08,3790,3890,3770,3860,20408800
2023-03-09,3860,3940,3860,3940,23742100
2023-03-10,3940,3940,3880,3890,12207900
2023-03-13,3890,3930,3860,3930,16218900
2023-03-14,3920,3920,3830,3830,23038000
2023-03-15,3850,3880,3810,3810,10896200
2023-03-16,3790,3820,3640,3650,28032200
2023-03-17,3660,3880,3660,3880,83150000
2023-03-20,3810,3840,3760,3830,13432500
2023-03-21,3810,3810,3750,3750,7843600
2023-03-24,3770,3800,3710,3710,12487900
2023-03-27,3730,3770,3700,3700,11071100
2023-03-28,3740,3840,3710,3810,19994000
2023-03-29,3860,3960,3830,3910,26725000
2023-03-30,3920,3950,3850,3870,16083500
2023-03-31,3870,3990,3870,3990,22294200
2023-04-03,4000,4060,3990,4040,29194200
2023-04-04,4090,4150,4050,4100,24812900
2023-04-05,4100,4100,4050,4070,12106400
2023-04-06,4060,4090,4030,4030,9011000
2023-04-10,4030,4050,3930,3960,13141400
2023-04-11,3960,4010,3950,3980,12103100
2023-04-12,3990,3990,3920,3920,13801700
2023-04-13,3940,4060,3940,3980,37337700
2023-04-14,3980,4030,3930,3970,17168500
2023-04-17,3970,4000,3940,3950,14576100
2023-04-18,3950,4080,3950,4040,22472200
2023-04-26,4040,4140,4040,4140,35310300
2023-04-27,4140,4140,4110,4130,11282600
2023-04-28,4130,4200,4120,4140,18429100
2023-05-02,3860,3860,3860,3860,14543800
2023-05-03,3590,3590,3590,3590,24131600
2023-05-04,3510,3610,3390,3410,121627200
2023-05-05,3400,3400,3310,3360,52260800
2023-05-08,3380,3520,3380,3490,41505500
2023-05-09,3510,3520,3470,3490,17886800
2023-05-10,3490,3540,3480,3490,13859800
