time,open,high,low,close,Volume
2021-09-24,18950,19125,18300,18450,5960600
2021-09-27,18550,19000,18325,18525,2815300
2021-09-28,18850,19700,18850,19700,8110000
2021-09-29,19700,20100,19525,19525,6296200
2021-09-30,19725,21300,19725,20800,10377800
2021-10-01,20900,21750,20900,21175,8163800
2021-10-04,22000,24850,21975,24575,14176700
2021-10-05,25925,27000,24600,24825,11392400
2021-10-06,26700,26800,25275,25650,7975900
2021-10-07,24500,24500,23875,23875,9258600
2021-10-08,23200,25500,23000,24850,9878300
2021-10-11,25125,26850,24850,26750,7529400
2021-10-12,27000,27750,26000,26425,8845700
2021-10-13,26400,26800,25875,26250,4508700
2021-10-14,26150,26425,25475,25550,5001900
2021-10-15,25750,26300,25425,26000,4779400
2021-10-18,25800,26200,25525,25675,4065100
2021-10-19,25600,25825,25400,25425,2916000
2021-10-21,23650,24400,23650,24225,11720700
2021-10-22,22700,24475,22575,23800,8629100
2021-10-25,24400,25050,24400,24850,4086500
2021-10-26,25000,25200,24375,25200,4182900
2021-10-27,25200,25200,24100,24150,3019400
2021-10-28,23850,23850,22475,22475,8828100
2021-10-29,22000,22800,21275,21600,14505300
2021-11-01,21050,22375,20600,22250,8565800
2021-11-02,21750,22125,21350,21525,4887500
2021-11-03,22200,22500,21975,22300,4887400
2021-11-04,23000,23100,22175,22400,6459600
2021-11-05,22400,22425,21900,22325,3285900
2021-11-08,22500,22650,22325,22625,2289900
2021-11-09,22950,23100,22525,22675,4313900
2021-11-10,22675,22675,22050,22275,5554900
2021-11-11,21600,21850,21275,21575,5716200
2021-11-12,21600,21700,20675,20775,7600200
2021-11-15,20650,20650,19325,19325,13203200
2021-11-16,19375,19725,19025,19100,8718600
2021-11-17,19375,20125,19350,19950,6970800
2021-11-18,19900,19925,19350,19500,3040500
2021-11-19,19700,20450,19525,20175,4425600
2021-11-22,20175,20225,19725,20000,2767500
2021-11-23,20600,21075,20275,21050,6752000
2021-11-24,21500,21500,20850,21075,4838800
2021-11-25,21300,21675,21025,21550,4058900
2021-11-26,21400,21450,20350,20425,4406800
2021-11-29,20000,20925,19900,20875,3655400
2021-11-30,20500,21550,20400,21550,5651700
2021-12-01,21000,21400,20750,20900,3340500
2021-12-02,21050,21950,21000,21875,5238600
