time,open,high,low,close,Volume
2023-03-13,8450,8625,8450,8550,82077700
2023-03-14,8425,8475,8325,8325,91625300
2023-03-15,8450,8475,8325,8325,69987000
2023-03-16,8300,8350,8250,8300,95928800
2023-03-17,8375,8450,8325,8375,141350600
2023-03-20,8400,8475,8375,8400,37334100
2023-03-21,8400,8500,8375,8500,73117200
2023-03-24,8700,8825,8625,8825,173082100
2023-03-27,8825,8825,8700,8700,113511600
2023-03-28,8800,8800,8675,8675,86867300
2023-03-29,8675,8800,8625,8800,79925500
2023-03-30,8900,8900,8800,8825,118984100
2023-03-31,8825,8850,8725,8750,97164200
2023-04-03,8825,8825,8750,8800,52537100
2023-04-04,8825,8825,8650,8775,49118900
2023-04-05,8775,8800,8725,8725,37587600
2023-04-06,8700,8775,8700,8750,45496400
2023-04-10,8725,8800,8700,8800,24919900
2023-04-11,8825,8825,8750,8825,44484300
2023-04-12,8900,8900,8825,8900,76265300
2023-04-13,8950,8950,8875,8925,68712600
2023-04-14,9000,9000,8950,9000,90708300
2023-04-17,9025,9050,8900,9025,83946900
2023-04-18,9050,9175,9025,9125,91242300
2023-04-26,9125,9200,9000,9200,186928200
2023-04-27,9100,9175,9075,9150,66134800
2023-04-28,9100,9125,9050,9050,145775300
2023-05-02,9100,9100,8900,9050,105734900
2023-05-03,9050,9050,8875,8925,69747400
2023-05-04,8925,9025,8875,9000,59658000
2023-05-05,9000,9050,8950,9000,55564300
2023-05-08,9000,9075,8950,9000,84754500
2023-05-09,8950,8975,8900,8925,42046400
2023-05-10,8925,8950,8900,8925,45495300
2023-05-11,8900,8900,8800,8825,82001900
2023-05-12,8750,8875,8725,8800,79769400
2023-05-15,8875,8875,8725,8775,50788000
2023-05-16,8800,8825,8700,8700,57835300
2023-05-17,8775,8850,8750,8775,70010200
2023-05-19,8900,9000,8825,9000,105991900
2023-05-22,9000,9075,8925,9000,91001300
2023-05-23,9050,9150,9025,9125,87739000
2023-05-24,9200,9200,9025,9025,64845600
2023-05-25,9100,9150,9050,9050,62058200
